relative_time,data_id,co2_concentration,brix,out_temperature,in_temperature,ph,pressure_upper,pressure_lower,batch_id
7680.0,812.0,32397.0,0.0,28.375,28.375,0.0,1006.3574,0.0,5.0
7740.0,813.0,32510.0,0.0,28.375,28.375,0.0,1006.468,0.0,5.0
7800.0,814.0,32656.0,0.0,28.375,28.375,0.0,1006.3876,0.0,5.0
7860.0,815.0,32778.0,0.0,28.312,28.312,0.0,1006.5928,0.0,5.0
7920.0,816.0,32895.0,0.0,28.375,28.375,0.0,1006.5171,0.0,5.0
7980.0,817.0,33035.0,0.0,28.437,28.437,0.0,1006.5275,0.0,5.0
8040.0,818.0,33195.0,0.0,28.437,28.437,0.0,1006.4407,0.0,5.0
8100.0,819.0,33355.0,0.0,28.437,28.437,0.0,1006.5587,0.0,5.0
8160.0,820.0,33512.0,0.0,28.375,28.375,0.0,1006.6452,0.0,5.0
8220.0,821.0,33616.0,0.0,28.437,28.437,0.0,1006.5981,0.0,5.0
8280.0,822.0,33504.0,0.0,28.437,28.437,0.0,1006.5622,0.0,5.0
8340.0,823.0,31692.0,0.0,28.437,28.437,0.0,1006.5339,0.0,5.0
8400.0,824.0,29675.0,0.0,28.437,28.437,0.0,1006.4182,0.0,5.0
8460.0,825.0,28654.0,0.0,28.437,28.437,0.0,1006.5334,0.0,5.0
8520.0,826.0,28961.0,0.0,28.437,28.437,0.0,1006.6031,0.0,5.0
8580.0,827.0,28575.0,0.0,28.437,28.437,0.0,1006.6436,0.0,5.0
8640.0,828.0,27070.0,0.0,28.5,28.5,0.0,1006.6229,0.0,5.0
8700.0,829.0,27154.0,0.0,28.5,28.5,0.0,1006.4575,0.0,5.0
8760.0,830.0,28798.0,0.0,28.437,28.437,0.0,1006.5646,0.0,5.0
8820.0,831.0,29320.0,0.0,28.5,28.5,0.0,1006.6352,0.0,5.0
8880.0,832.0,29698.0,0.0,28.5,28.5,0.0,1006.5275,0.0,5.0
8940.0,833.0,30396.0,0.0,28.5,28.5,0.0,1006.5205,0.0,5.0
9000.0,834.0,29178.0,0.0,28.5,28.5,0.0,1006.7123,0.0,5.0
9060.0,835.0,27811.0,0.0,28.5,28.5,0.0,1006.5994,0.0,5.0
9120.0,836.0,27945.0,0.0,28.562,28.562,0.0,1006.6763,0.0,5.0
9180.0,837.0,28769.0,0.0,28.562,28.562,0.0,1006.5724,0.0,5.0
9240.0,838.0,28835.0,0.0,28.562,28.562,0.0,1006.5279,0.0,5.0
9300.0,839.0,28566.0,0.0,28.562,28.562,0.0,1006.558,0.0,5.0
9360.0,840.0,28786.0,0.0,28.562,28.562,0.0,1006.5528,0.0,5.0
9420.0,841.0,29952.0,0.0,28.562,28.562,0.0,1006.5098,0.0,5.0
9480.0,842.0,31066.0,0.0,28.625,28.625,0.0,1006.6876,0.0,5.0
9540.0,843.0,31713.0,0.0,28.562,28.562,0.0,1006.721,0.0,5.0
9600.0,844.0,31943.0,0.0,28.562,28.562,0.0,1006.5886,0.0,5.0
9660.0,845.0,31705.0,0.0,28.625,28.625,0.0,1006.6721,0.0,5.0
9720.0,846.0,33741.0,0.0,28.625,28.625,0.0,1006.7131,0.0,5.0
9780.0,847.0,35586.0,0.0,28.625,28.625,0.0,1006.6804,0.0,5.0
9840.0,848.0,34983.0,0.0,28.625,28.625,0.0,1006.5638,0.0,5.0
9900.0,849.0,33401.0,0.0,28.625,28.625,0.0,1006.5872,0.0,5.0
9960.0,850.0,31782.0,0.0,28.687,28.687,0.0,1006.7702,0.0,5.0
10020.0,851.0,30359.0,0.0,28.625,28.625,0.0,1006.789,0.0,5.0
10080.0,852.0,29444.0,0.0,28.625,28.625,0.0,1006.724,0.0,5.0
10140.0,853.0,29215.0,0.0,28.687,28.687,0.0,1006.7608,0.0,5.0
10200.0,854.0,29419.0,0.0,28.687,28.687,0.0,1006.6689,0.0,5.0
10260.0,855.0,29600.0,0.0,28.687,28.687,0.0,1006.6374,0.0,5.0
10320.0,856.0,29663.0,0.0,28.687,28.687,0.0,1006.7402,0.0,5.0
10380.0,857.0,32312.0,0.0,28.687,28.687,0.0,1006.7233,0.0,5.0
10440.0,858.0,33216.0,0.0,28.687,28.687,0.0,1006.7209,0.0,5.0
10500.0,859.0,34637.0,0.0,28.75,28.75,0.0,1006.7735,0.0,5.0
10560.0,860.0,35255.0,0.0,28.75,28.75,0.0,1006.8212,0.0,5.0
10620.0,861.0,35789.0,0.0,28.75,28.75,0.0,1006.8366,0.0,5.0
10680.0,862.0,37989.0,0.0,28.75,28.75,0.0,1006.753,0.0,5.0
10740.0,863.0,38073.0,0.0,28.75,28.75,0.0,1006.7581,0.0,5.0
10800.0,864.0,37654.0,0.0,28.812,28.812,0.0,1006.7732,0.0,5.0
10860.0,865.0,36768.0,0.0,28.75,28.75,0.0,1006.6903,0.0,5.0
10920.0,866.0,34975.0,0.0,28.75,28.75,0.0,1006.8492,0.0,5.0
10980.0,867.0,34975.0,0.0,28.75,28.75,0.0,1006.778,0.0,5.0
11040.0,868.0,34975.0,0.0,28.812,28.812,0.0,1006.6521,0.0,5.0
11100.0,869.0,34975.0,0.0,28.812,28.812,0.0,1006.8985,0.0,5.0
11160.0,870.0,34975.0,0.0,28.812,28.812,0.0,1006.7712,0.0,5.0
11220.0,871.0,34975.0,0.0,28.75,28.75,0.0,1006.7217,0.0,5.0
11280.0,872.0,34975.0,0.0,28.812,28.812,0.0,1006.7025,0.0,5.0
11340.0,873.0,34975.0,0.0,28.875,28.875,0.0,1006.8019,0.0,5.0
11400.0,874.0,34975.0,0.0,28.875,28.875,0.0,1006.7534,0.0,5.0
11460.0,875.0,34975.0,0.0,28.812,28.812,0.0,1006.8064,0.0,5.0
11520.0,876.0,34975.0,0.0,28.812,28.812,0.0,1006.6983,0.0,5.0
11580.0,877.0,34975.0,0.0,28.875,28.875,0.0,1006.8123,0.0,5.0
11640.0,878.0,34975.0,0.0,28.875,28.875,0.0,1006.7692,0.0,5.0
11700.0,879.0,34975.0,0.0,28.875,28.875,0.0,1006.7141,0.0,5.0
11760.0,880.0,34975.0,0.0,28.875,28.875,0.0,1006.8691,0.0,5.0
11820.0,881.0,34975.0,0.0,28.875,28.875,0.0,1006.6893,0.0,5.0
11880.0,882.0,34975.0,0.0,28.937,28.937,0.0,1006.799,0.0,5.0
11940.0,883.0,34975.0,0.0,28.937,28.937,0.0,1006.8588,0.0,5.0
12000.0,884.0,34975.0,0.0,28.875,28.875,0.0,1006.6924,0.0,5.0
12060.0,885.0,34975.0,0.0,28.937,28.937,0.0,1006.7386,0.0,5.0
12120.0,886.0,34975.0,0.0,28.875,28.875,0.0,1006.8031,0.0,5.0
12180.0,887.0,34975.0,0.0,29.0,29.0,0.0,1006.7312,0.0,5.0
12240.0,888.0,34975.0,0.0,28.937,28.937,0.0,1006.752,0.0,5.0
12300.0,889.0,34975.0,0.0,28.937,28.937,0.0,1006.9104,0.0,5.0
12360.0,890.0,34975.0,0.0,28.937,28.937,0.0,1006.7318,0.0,5.0
12420.0,891.0,34975.0,0.0,28.937,28.937,0.0,1006.7349,0.0,5.0
12480.0,892.0,34975.0,0.0,29.0,29.0,0.0,1006.7534,0.0,5.0
12540.0,893.0,34975.0,0.0,29.0,29.0,0.0,1006.9293,0.0,5.0
12600.0,894.0,34975.0,0.0,29.0,29.0,0.0,1006.9991,0.0,5.0
12660.0,895.0,34975.0,0.0,28.937,28.937,0.0,1006.782,0.0,5.0
12720.0,896.0,34975.0,0.0,29.062,29.062,0.0,1006.7784,0.0,5.0
12780.0,897.0,34975.0,0.0,29.0,29.0,0.0,1006.9149,0.0,5.0
12840.0,898.0,34975.0,0.0,29.0,29.0,0.0,1006.8198,0.0,5.0
